question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,0.5,0.5,0.5,0.0,0.0,0.0
5,NTSB,0.0,0.0,0.0,1.0,1.0,1.0
6,NorthernPlainsFireManagement,0.5,0.5,0.5,0.08333333333333333,0.2,0.11764705882352941
7,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
8,CratersWildlifeObservations,0.0,0.0,0.0,0.0,0.0,0.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,0.05405405405405406,1.0,0.10256410256410257
10,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.05263157894736842,0.5,0.09523809523809525
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.0,0.0,0.0,0.0,0.0,0.0
15,KlamathInvasiveSpecies,0.5,1.0,0.6666666666666666,0.044444444444444446,1.0,0.0851063829787234
16,NYSED_SRC2022,0.5,0.5,0.5,0.1875,0.75,0.3
17,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
18,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
19,KlamathInvasiveSpecies,0.5,0.5,0.5,0.16666666666666666,0.5,0.25
20,KlamathInvasiveSpecies,0.25,1.0,0.4,0.16666666666666666,1.0,0.2857142857142857
21,PacificIslandLandbirds,0.5,0.25,0.3333333333333333,0.07142857142857142,0.14285714285714285,0.09523809523809523
22,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
23,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
24,CratersWildlifeObservations,1.0,1.0,1.0,0.2222222222222222,1.0,0.3636363636363636
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
26,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
27,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
28,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
29,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
33,NTSB,1.0,1.0,1.0,0.05128205128205128,1.0,0.09756097560975609
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
36,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.023809523809523808,1.0,0.046511627906976744
37,NorthernPlainsFireManagement,0.0,0.0,0.0,0.0,0.0,0.0
38,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
39,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
