question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
43,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
44,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
45,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,0.75,0.8571428571428571
46,NorthernPlainsFireManagement,1.0,1.0,1.0,0.0,0.0,0.0
47,NYSED_SRC2022,1.0,1.0,1.0,0.0,0.0,0.0
48,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
49,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
50,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
51,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
52,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
53,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,0.3333333333333333,0.4
54,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
55,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
56,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
57,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
58,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
59,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
60,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,1.0,0.2,0.33333333333333337
61,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
62,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
63,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
64,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
65,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
66,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
67,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
68,NYSED_SRC2022,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
69,ATBI,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
70,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
71,ATBI,1.0,1.0,1.0,1.0,1.0,1.0
72,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
73,KlamathInvasiveSpecies,1.0,1.0,1.0,0.8333333333333334,0.5555555555555556,0.6666666666666667
74,NYSED_SRC2022,1.0,1.0,1.0,0.6666666666666666,0.4,0.5
75,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
76,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
77,PacificIslandLandbirds,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
78,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
79,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
80,KlamathInvasiveSpecies,1.0,1.0,1.0,0.0,0.0,0.0
81,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
82,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
83,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
84,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
85,SBODemoUS-Inventory and Production,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
86,KlamathInvasiveSpecies,1.0,0.3333333333333333,0.5,1.0,0.375,0.5454545454545454
87,SBODemoUS-Inventory and Production,0.0,0.0,0.0,0.0,0.0,0.0
88,ATBI,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
89,SBODemoUS-Business Partners,0.5,1.0,0.6666666666666666,0.5,0.8,0.6153846153846154
90,KlamathInvasiveSpecies,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
91,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
92,ATBI,0.0,0.0,0.0,0.0,1.0,0.0
93,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
94,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
95,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
96,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
97,PacificIslandLandbirds,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
98,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
99,SBODemoUS-Sales Opportunities,0.0,0.0,0.0,0.0,0.0,0.0
100,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,1.0,0.125,0.2222222222222222
101,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
